Medics transport a patient on a stretcher .	a doctor rush a patient on a stretcher .	3.4000
a woman be play a flute on stage .	the woman be play the flute .	3.6000
two baby panda be play .	two panda be lay together .	3.0000
a baby be laugh .	a baby be laugh and giggle .	4.0000
a man be play a guitar .	a boy be play a piano .	1.2000
a man be folding paper .	a woman be slice a pepper .	0.6000
three woman be dance .	the man be dance .	1.6000
the cat be play with each other .	two cat be fight each other .	2.6000
a person be write .	a person be write with a pencil .	3.6000
a man be run .	a man be run down a road .	3.5000
the woman be roll dough .	a woman be flour and roll dough .	3.7650
a woman be add spice on a meat .	Woman be add sugar to meat .	2.7500
a woman be add oil on fish .	a woman be pour water on fish .	2.2500
a young boy be hold a guitar .	a little boy be play a guitar .	2.7500
a cheetah be run .	a cheetah be run across a field .	3.8000
the man be eat pizza .	a man be eat a slice of pizza .	4.8000
a orangutan be ride a bus .	a monkey be ride on a bus .	3.6000
a man and a woman talk in a diner .	a man and a woman be ride on a bicycle .	1.2000
a man be play a guitar .	a man be clean a glass door .	0.4000
a girl be singing and play a guitar .	a young man be singing while play the guitar .	2.4000
a girl be communicate with sign language .	a young girl be use sign language .	3.9410
a woman be do weight exercise .	a woman be do she hair .	0.5000
a man be get inside a car .	a elderly man be get into a red car .	3.7500
a big green ball knock a potato over .	a large green ball hit a potato .	4.0000
a cat be play keyboard .	a cat be play a piano .	3.0000
two dog swim in a pool .	dog be swim in a pool .	4.2000
the man use a chopper to chop the onion .	the man use a machine to chop up a potatoe .	2.0000
a woman slice tofu .	a woman be cut tofu .	5.0000
a herd of deer be cross the street .	a herd of caribou be cross a road .	3.0000
the person be ride the horse .	a man be ride a horse .	3.8000
someone be feed a animal .	someone be play a piano .	0.0000
someone be slice tortila 's .	someone be ride a horse .	0.0000
someone be mix ingrediant .	someone be sew thing .	0.2500
a rooster peck at a dead mouse .	a chicken be peck at a dead mouse .	4.0000
a woman hold a kangaroo .	a woman be pick up a kangaroo .	3.2500
a man be play with frog	a cat be play with a camera .	0.7500
two man be talk .	two man be play guitar .	1.5000
a man spread butter on a big piece of bread .	a man be smear butter on a slice of garlic bread .	3.5000
a man be run across a high wire .	a man be run on rope .	3.0000
a man be mow a lawn .	a woman be cut a lemon .	0.2000
a man be open a door .	a man be play a guitar .	0.8000
a man be slice a potato into piece .	a man be cut a potato .	4.2000
the woman be cut cook octopus .	a woman be chop octopus .	3.8000
a man be punch through board .	a dog be run through water .	0.4000
a man be dance .	a man be eat bread .	0.8000
someone be play a piano .	a man be play a guitar .	1.2000
two fox be eat from a plate on a brick patio .	fox be eat from a plate .	2.8000
a boy be play a key-board .	a boy be play the piano .	3.2000
a person play a keyboard .	someone be play a keyboard .	5.0000
a man be shoot a gun .	a man be spit .	0.0000
someone be slice a onion .	Someoen be peel a potato .	1.0000
a man be swim .	a woman be slice meat .	0.0000
a man be play the guitar .	a man play a acoustic guitar .	3.7500
a woman be slice a pumpkin .	a woman be ride a elephant .	0.4000
a woman be dance .	a woman be knead dough .	0.4000
a woman be crack egg into a bowl .	a woman be place skewer onto a rack .	0.6000
a car be move through a road .	a car be drive down the road .	4.0000
someone be grease a pan .	Smeone be lay down .	0.4000
a man be play guitar .	a man be drain pasta .	0.4000
a woman be drink vodka .	a woman be exercise .	0.4000
a woman be cut meat into piece .	a woman be cut up some meat .	4.8000
a man be rinse a steak .	a man be play a guitar .	0.6000
a man be sell item .	a man be clean the house .	0.8000
a man be jump a wall .	a man jump onto a short wall .	3.2000
runner race around a track .	runner compete in a race .	3.2000
a man be kick a soccer ball .	a man be mix a bowl .	0.6000
a woman be fry something .	a woman be ride a horse .	0.6000
a cat be lick a sucker .	a woman be slice cucumber .	0.0000
a woman be dance by a fire .	a woman be take a bath .	1.4000
the man be slice a fish open .	a man be slice a potato .	2.2000
butter be melt in a pan .	a man be melting butter in a pan .	3.6000
three boy be dance .	kid be dance .	3.1110
a woman be play a game with a man .	a man be play piano .	0.6000
the man be drive a white car .	a man be give a interview .	0.4000
a man drive he car .	a man be drive a car .	4.2500
a car back out of a space .	a car be back out of a block lane .	3.0000
a man put some cheese on a pizza .	the man sprinkle cheese on the pizza .	5.0000
the boy be play the piano .	a boy play a piano .	5.0000
the man play he guitar .	a man be play a guitar .	3.7500
a man be ride a horse .	a man be play a keyboard .	0.2000
a man be walk on a rope .	a man be ride a mo-pad .	0.4000
a girl be play a flute .	a band be play on a stage .	1.2860
people step off a train .	a group of people get off a train .	4.6000
a woman be sew on a machine .	a woman be bread some meat .	0.6000
a dog be look into swim pool .	a dog be walk around a pool .	2.0000
a man be butter a piece of bread .	a man be apply butter to bread .	5.0000
a man be cut tomato into piece .	a woman be cut some vegetable .	1.8000
three teenage girl dance in the room .	some teenage girl be dance for the camera .	2.4000
a lion be walk .	a lion be pacing in a pen .	2.4000
a man shoot a car .	a man be cut a potato .	0.4000
a black horse be run around .	the horse be run .	4.2000
a woman be devein shrimp .	a man be dance in rain .	0.0000
a man be ride a horse .	a woman be wash a freezer .	0.0000
a man walk down a path .	a man walk across a tight rope .	0.8000
a man be slice a potato .	a woman be cut a jalepeno .	1.4000
a dog be bark at a ball .	a dog swim after a tennis ball .	1.5000
a kid run away from a fish swing around on a fishing pole .	a little kid be run around a fishing pole .	2.5000
a man be walk along a path through wilderness .	a man be walk down a road .	2.5000
a elderly man be speak at a podium .	a man be make a speech at the podium .	3.5000
a man ride a horse in slow motion .	a man be ride on a horse .	3.4000
a person be cut some burrata cheese .	the person be slice cheese .	3.8000
the man be shoot a automatic rifle .	a man be shoot a gun .	3.8000
a man be crush garlic with the back of a knife .	a woman be slice meat with a knife .	1.5000
a woman be file she fingernail with a emery board .	a woman be feed she baby with a bottle .	0.5000
a man be ride a skateboard .	a woman be cut a potato .	0.0000
a woman be take a shower .	a man be ride a white horse .	0.0000
a man be dance .	a man be ride a horse .	0.8000
a man be rowing a boat .	a man be shoot off a gun .	0.8500
a man be swing from a rope attach to the ceiling .	a man be swing on a rope .	3.4000
a woman be ride a horse on a beach .	a man be carry another man on he back .	0.4000
a man hold a small animal in one hand .	a man show off a small monkey .	1.7500
a person be folding a square paper piece .	a man be folding paper .	3.2500
a person be frying meat in a pan .	a person be hold a skunk .	0.7500
a chimpanzee be hurt a woman .	a man be drive a car .	0.0000
the woman be peel shrimp .	the man be hold a lemur .	0.0000
two zebra be play .	zebra be socialize .	4.2500
a woman be slice butter .	a woman slice tofu .	1.8000
some man be play guitar .	three man be play guitar and singing together .	3.2000
the elephant spray water on themselves .	elephant spray themselves with water .	3.6000
a dog sit at the counter of a store .	the dog be stand at the counter .	2.6000
someone drill a hole in a strip of wood with a power drill .	a man drill a hole in a piece of wood .	3.2000
a woman be slice some vegetable .	the woman be dice garlic .	2.8000
a badger be burrow a hole .	a badger be digging the earth .	4.6000
a woman be water skiing on a lake .	a man be play a flute .	0.0000
a girl be play a violin .	a baby be laugh and giggle .	0.2500
a helicopter be landing on a helipad .	a helicopter land .	3.9230
a woman be cut up a chicken .	a woman be slice meat .	2.7500
a woman be cut a cucumber .	a man be play a guitar .	0.0000
a woman ride a elephant in front of a adoring crowd .	a woman ride a elephant .	3.0000
a puppy be slide backwards along the floor .	a puppy be push itself backwards .	3.8000
a woman split garlic clove .	a woman be break a head of garlic into clove .	4.6000
a dog be look into swim pool .	a dog be walk along the edge of a pool .	2.6000
a woman mix a beauty treatment in a glass .	a woman be mix a cream in a glass with a spoon .	3.6000
a man be draw a picture .	a person be draw .	3.6000
a woman be pick tomato .	a woman be pour batter into a bowl .	1.0000
a man be look at a computer monitor .	a man be use a laptop .	2.7500
the boy be ride a tricycle .	a woman be ride a water scooter .	1.2500
two man compete in a tire roll race .	two people flip tractor tire in a race .	2.7500
a person be cut a meat .	a person ride a mechanical bull	0.0000
a man be play a violin .	a woman be use a sew machine .	0.0000
the baby crawl through the doorway .	a baby be crawl across the floor .	2.4000
a man be play keyboard .	a person be play a piano .	2.2000
a man be smell two pizza .	a woman be feed a man .	0.2000
a monkey pull the tail of a dog .	a monkey be tease a dog at the zoo .	2.8000
a dog lie on he back on a wooden floor .	a dog be lay on the floor .	4.0000
a woman be fry something in the pan .	a man be play he guitar .	0.0000
a man put seasoning in a bowl of water .	the man add seasoning to water in a bowl .	5.0000
a elderly woman be pour oil into a frying pan .	a tie man be put into water .	0.0000
a woman be chop a onion .	a woman be slice partially into half of a onion .	3.2000
the woman pick up the kangaroo .	a woman be carry a kangaroo .	3.5000
a dog bite on a can .	a dog open a can of food .	1.7500
a woman be debon a fish .	a man catch a fish .	1.2500
a man be mow grass .	a man be bust concrete .	0.8330
a cat be watch a tv .	a man be slice a leave .	0.0000
the boy be stick in the door of the doghouse .	a child be stick in a dog house .	3.7500
people flip into a swimming pool .	man be fall into a pool .	2.7500
a woman swim underwater .	a woman be swim .	3.8000
a man be play a guitar .	a woman be dance .	0.2000
a airplane be fly in the air .	a south African Airways plane be fly in a blue sky .	3.4000
a bear be run from two dog .	a bear be fight wolf .	1.4000
a woman be rest in a float raft .	a woman relax in a inner tube .	3.8000
a man be die in a operating room .	a man be kiss a woman in stage .	0.4000
a man be hold a leaf .	a woman be watch television .	0.0000
a person be ride a horse .	a woman be slice potato .	0.0000
a woman be slice octopus .	a man be play the guitar .	0.0000
a man be break water jug .	a woman be peel garlic .	0.2000
a man be play a guitar .	a woman be cut vegetable .	0.0000
a girl be eat a cupcake .	a man be slice a cucumber .	0.0000
the little girl play on the grass with a dog and a ball .	a baby play with a dog and ball .	3.8000
people ride and paddle a raft .	four people be float on a raft .	2.2500
the lady cut up a potatoe .	a man be cut a potato .	2.4000
the missile explode .	a rocket explode .	3.2000
a dog be play in the snow .	a dog be paw at a fly in the carpet before it .	1.6000
a woman be dance with other woman .	a woman be shred chicken .	0.4000
a boy be push a van .	a person be slice a tomato .	0.0000
a boy be make some dance step .	a boy be pour something from a pitcher .	0.4000
a woman be open a soda and drinking it .	a woman be ride on a elephant .	0.6000
a man be assemble speaker part .	a man be play the guitar .	1.0000
the dog walk along the edge of the pool .	a dog be walk along a pool .	4.6000
butter be be put into a bowl .	a man cut butter into a mix bowl .	4.2500
raccoon be eat .	a man be eat .	1.5000
someone fall off a horse .	a man get knock off of a horse .	3.5000
a woman peel a apple .	a man pop wheelies on a motorcycle .	0.0000
a man be take some math class .	a man be rinse a steak .	0.0000
animal be play in water .	two man be play ping pong .	0.0000
a man be ride a horse and jump over obstacle .	a man be kick a soccer ball .	0.3330
a person be do pencil trick with he hand .	a person be slice carrot in half .	0.3330
the person light the camera on fire .	a person be blow torching camera .	3.3330
the man be slice the tape from the box .	a man be cut open a box .	4.3330
a man be fishing in the river .	a man be singing while walk down the sidewalk .	0.8000
a man be ride a bike .	a woman be dance in the street .	0.2000
a man be do push-up .	a woman be cut some octopus .	0.0000
a man be play guitar .	a woman be slice up some pork .	0.0000
the little boy be singing and play the guitar .	a baby be play a guitar .	2.8000
a woman be powder she face .	the woman be tap she finger on the table .	0.8000
a woman be peel a potato .	a lion be walk around .	0.0000
a woman be firing a rifle .	a man be perform stunt .	0.2500
a woman put a garland over a man 's shoulder .	a man pour water over a pilot head .	0.5000
a old woman be shake hand with a man .	a man and a woman shake hand .	3.7500
the woman be waterskiing .	a woman be wake board on a lake .	1.7500
Trees be bend in storm .	Trees be hit by very hard wind .	2.6670
a man and woman be ride in a car .	a woman be frying shrimp .	0.4000
a man be move a tree limb .	the woman be play the violin .	0.0000
a man play a piano .	a woman be play the violin .	1.0000
a person pour oil on a skillet .	a person be dice a onion .	0.8000
the animal be eat .	a woman be dance .	0.0000
the woman be walk she dog .	a woman walk she dog down the street .	4.0000
a group of people sing .	some people be singing .	5.0000
the cat be drink milk .	a cat be lick from a saucer of milk .	4.4000
a girl be make eyelid .	a woman be apply eyeshadow .	2.0000
two man be fight .	two man be fight use a form of martial art .	2.8000
the military officer bark at the recruit .	a officer be talk to recruit .	2.5000
the man be put chicken into the container .	a man be put food in a box .	2.5000
a man be tie on a stenographer machine .	the man use a stenograph .	2.2500
a woman be add pasta to a pot of water .	a woman be make noodle .	3.6000
a woman be lie on a blanket on a rock and read a book .	a woman seat be sing a song and play the guitar too .	1.2000
two puppy be play with each other .	some man be play soccer .	0.2000
a man be run on a field .	a man climb up a rope .	1.0000
a man be hug someone .	a man be take a picture .	0.4000
someone be pour ingrediant into a pot .	a man put vegetable into a pot .	2.8000
a couple be walk .	some man be saw .	0.0000
a person be play a guitar .	the man play he guitar .	3.0000
a person be add food in a pan .	a woman put rice into a pan .	3.0000
a group of penguin be walk .	a large amount of penguin be head to the ocean .	2.8000
a man be play a guitar .	someone be handle a bun .	0.0000
a dog be jump on a trampoline .	a boy be play a guitar .	0.0000
a man be shake a container over a kitchen sink .	a man be empty a plastic container .	2.2000
a man be walk with a horse .	a man be lead a horse around by it be halter .	3.7500
paper be be cut with scissors .	a piece of paper be be cut .	4.0000
a person peel shrimp .	the lady peel the shrimp .	3.5000
a man be play a guitar .	a man try to read the paper .	0.8000
a man make a bed in a hotel .	a man be hold a animal .	0.8000
the dog pull the dog tail and then he leg .	a monkey pull a dog tail .	1.7500
a woman beat two egg in a bowl .	a person be mix ingredient in a bowl .	3.0000
a man be jump rope outside .	a woman be slice a cucumber .	0.0000
a person be slice some onion .	a hamster be singing .	0.0000
a woman hold a kangaroo .	a man in a hat sing a song .	0.0000
soccer player be kick a soccer ball into the goal .	a soccer player score a goal .	3.8000
a woman be cooking something .	a woman be pour ingredient into a frying pan .	3.2000
a woman be swim in the beach .	a woman splash around in the ocean 's wave .	3.2000
a man be carry another man .	a man spray another man with water from a hose .	0.8000
the woman be put paste into a dish .	a woman be pull some kind of sticky goo out of a bowl .	1.5000
a man be hold up and talk about a gray you Tube t-shirt .	a man be show a t shirt .	2.7500
someone pour olive oil into a bowl of tomato wedge .	the man pour oil on the tomato slice .	3.7500
a man be play the guitar .	the man play he guitar with a friend .	3.2000
someone be boil okra in a pot .	someone pour olive oil into a bowl of tomato wedge .	0.8000
a person be peel a potato .	a cat be lick a small bottle .	0.0000
a cat be jump into a box .	a young man be talk to a leaf .	0.0000
the woman be season the oil .	a woman be pour ingredient in a bowl .	1.4000
a cat be slide upside down under a couch .	a cat be crawl under a piece of furniture on it be back .	3.2000
a woman dance while a man play the keyboard .	a woman be dance on a stage .	2.2000
a chef be clean up a bowl of soup .	a man be wipe the edge of a bowl off .	2.5330
a explosion be boom in the desert .	a nuclear weapon explode in a desert .	3.4000
a woman slice a lemon .	a man be talk into a microphone .	0.0000
a overweight man be skip rope .	a young man be dance .	0.8000
the lady crack two raw egg .	the woman be crack egg into a bowl .	3.2000
a man sharpen a pencil use a knife .	a woman be dance in the rain .	0.0000
plastic toy be float in water .	the lady be perform a dance .	0.0000
the turtle follow the fish .	a sea turtle be hunting for fish .	3.0000
the woman be pencil on eye shadow .	the girl be use a eye pencil on she eyelid .	2.8000
a man be tie he shoe .	a dog be ride on a bicyclist shoulder .	0.0000
a woman be slice meat with a knife .	a man be spread out dough .	0.4170
a dog be run on the ground .	a girl be tap she finger nail .	0.0000
a man be pet a tie up dog .	a man be show he dog to the camera .	1.0000
a woman be walk on a open ground with a pet dog as some other dog follow they .	a man be walk with several dog .	2.0000
a woman be mince some garlic .	a person be clean a disk .	0.0000
two team be play soccer .	different set of team be play football on a field .	2.5000
a rat like creature be smell around .	a animal be walk on the ground .	2.0000
two Sumo ringer be fight each other .	a man ride a water toy in the water .	0.0000
a man lay on the ground and aim a rifle .	a man be spread butter on a tortilla .	0.0000
a couple be run towards the ocean .	a man and and woman be run together , hold hand .	2.8180
a woman be chop a hard egg .	a person be cut boil egg into piece .	3.5330
two robot share a kiss .	a male and female robot be kiss .	3.8000
a cat be try to touch a dog .	the cat tease the dog by touch he head .	3.2500
the rhino graze on the grass .	a rhino be grazing in a field .	4.0000
the man drive he little red car around the traffic .	the dog run in the water at the beach .	0.0000
a man be cut bread .	a man be do trick with a soccer ball .	1.0000
a cat rapidly swat a kid in the head .	a cat and a boy play together .	2.6000
a cat be play in a box .	the dog be play with the floor cleaner .	1.4000
the couple dance in the church .	a couple slow dance .	3.2000
a man be pat a alligator on the mouth .	a person be dump chop vegetable into a pot on the stove .	0.0000
a person check some rice pudding .	a horse be run .	0.0000
a woman be stir two egg in a glass bowl .	a young girl be singing on a stage .	0.0000
the man be play the drum .	a man pour cleaner in he sink .	0.0000
a man be slice a pepper .	a person cut a big green pepper apart .	3.8000
a woman be speak in sign language .	a woman spice some seafood .	0.6430
a boy be crawl into a dog house .	a cat be play on the floor .	0.0000
the girl fly she kite while she run up a hill .	a girl lose she kite .	2.2500
a woman be place food in a pot of hot water .	a woman be frying meat .	1.2500
a small monkey walk through water .	a monkey be wade across a marsh .	3.4000
a man be ride a bike .	a panda bear be eat .	0.0000
a young man be singing and play the piano .	the man be write a letter .	0.2000
a boy take off he sunglass .	a boy be scream .	0.5000
a girl be play a piano .	a boy be do push up .	0.0000
the lady slice a tomatoe .	someone be cut a tomato .	4.0000
someone be hold a hedgehog .	a onion be be slice .	0.0000
a woman peel a potato .	a woman be grill pineapple .	1.0000
a cat be drink some water .	a truck be go down a hill .	0.0000
a person be put salt and pepper on a piece of pork .	a youngster be sit on a piano .	0.0000
the man sit in he chair and stare .	the little girl be put she hair into a pony tail .	0.0000
a woman be dice a potato .	a woman cut tofu into tiny piece .	1.8000
a baby be crawl happily .	a baby sneeze and scare another baby .	1.2000
a person be fry a meat in the pan .	a man be cut a vegetable .	0.6000
a man be look out of a window .	a woman be swim in the water .	0.2500
a man seat be play the guitar .	a man be play a acoustic guitar and singing into a microphone .	3.2500
a woman be slice a onion with a knife .	a man be prepare some dish .	1.2500
a rider be run and jump she horse .	a woman jump hurdle on a horse .	4.0000
a boy be play a key-board .	a boy be sit in a room play a piano by lamp light .	3.2500
two man be fight .	the man be exercise .	0.7500
a man be play a wooden flute while several other man play bongo drum .	a man be play a flute .	3.2500
a person be pet a monkey .	a man be hold a slow loris .	1.2000
two cartoon rabbit be kiss .	a rabbit be kiss another rabbit .	3.8000
the hedgehog chew on the towel .	a hedgehog be bite at a blanket .	3.4000
a cat be lick himself .	a man be slice a white onion with a mandolin slicer .	0.0000
a small guinea pig be gnawing and eat a piece of carrot on the floor .	a Guinea pig eat a carrot .	3.5000
four boy be stand in front of the burning car .	four young man stand still as a car explode behind they .	3.7500
a man be smoking .	the man sit in he suit and smoke .	4.0000
